1213	Univ Catanzaro	809	1627	222	0.137
1214	Nanchang Hangkong Univ	18013	1626	222	0.136
1215	All India Inst Med Sci Rishikesh	54856	1626	56	0.034
1216	Graphic Era (Deemed to be Univ)	55384	1625	117	0.072
1217	Univ Sassari	450	1622	163	0.1
1218	Univ Idaho	3490	1621	127	0.078
1219	Shahid Bahonar Univ Kerman	9485	1619	144	0.089
1220	Open Univ	334	1618	180	0.111
1221	Liaoning Tech Univ	55394	1617	111	0.069
1222	Punjab Agr Univ	2481	1616	111	0.069
1223	Univ Fed Juiz de Fora	6071	1611	77	0.048
1224	First Moscow State Med Univ	53829	1609	156	0.097
1225	Tallinn Univ Technol	115	1603	113	0.07
1226	Univ Balearic Islands	658	1601	161	0.101
1227	New Mexico State Univ	3486	1601	121	0.076
1228	Kuwait Univ	3726	1600	106	0.066
1229	Shanxi Agr Univ	19196	1597	115	0.072
1230	Inner Mongolia Agr Univ	18778	1596	130	0.081
1231	Loma Linda Univ	3487	1593	142	0.089
1232	Naval Univ Engn	19199	1592	95	0.06
1233	Abdelmalek Essaâdi Univ	1365	1591	78	0.049
1234	Ton Duc Thang Univ	18894	1588	243	0.153
1235	Univ Rhode Island	3503	1588	145	0.091
1236	Rensselaer Polytech Inst	1304	1587	147	0.093
1237	Univ Bucharest	570	1587	137	0.086
1238	Visvesvaraya Natl Inst Technol - Nagpur	18786	1586	105	0.066
1239	Zhejiang Univ Sci & Technol	55395	1583	157	0.099
1240	Univ W England - Bristol	281	1581	162	0.102
1241	Cochin Univ Sci & Technol	2486	1577	79	0.05
1242	Univ Malaysia Sabah	9971	1576	119	0.075
1243	Helwan Univ	18556	1574	125	0.079
1244	Natl Taiwan Normal Univ	3761	1574	135	0.086
1245	Beijing Univ Civil Engn & Arch	19228	1574	152	0.097
1246	Jimei Univ	19175	1572	130	0.082
1247	Univ Jeddah	53029	1570	152	0.097
1248	Binus Univ	55527	1569	88	0.056
1249	Natl Def Med Ctr	9794	1568	85	0.054
1250	Univ Fribourg	695	1567	197	0.126
1251	Moscow Engn Phys Inst	9694	1567	52	0.033
1252	Univ East Piedmont Amedeo Avogadro	810	1562	171	0.11
1253	Univ Paris-Est Créteil Val de Marne	2546	1561	168	0.107
1254	Mie Univ	1117	1561	72	0.046
1255	Natl Inst Technol Kurukshetra	53000	1559	133	0.085
1256	Ibn Tofail Univ	53193	1558	86	0.055
1257	Univ New Brunswick	3574	1556	146	0.094
1258	Univ Kassel	250	1556	116	0.074
1259	Kaunas Univ Technol	466	1554	129	0.083
1260	Sichuan Normal Univ	18544	1553	150	0.097
1261	Maulana Azad Natl Inst Technol	53132	1552	136	0.088
1262	Natl Inst Technol Durgapur	52616	1551	76	0.049
1263	Xihua Univ	19181	1550	159	0.103
1264	W Pomeranian Univ Technol - Szczecin	975	1545	83	0.054
1265	Shandong Jianzhu Univ	52641	1545	121	0.078
1266	Foshan Univ	52639	1545	171	0.111
1267	Univ Canberra	2944	1543	184	0.119
1268	Upstate Med Univ - SUNY	3523	1541	113	0.073
1269	Tianjin Univ Tradit Chin Med	18541	1540	213	0.138
1270	Univ Malta	475	1539	110	0.071
1271	Med Univ Białystok	947	1538	194	0.126
1272	Christian Med Coll Vellore	2465	1538	60	0.039
1273	Univ Girona	637	1536	156	0.102
1274	Indonesia Univ Educ	55393	1536	48	0.031
1275	Univ Life Sci Lublin	963	1536	99	0.065
1276	Univ Waikato	2812	1535	151	0.099
1277	Inst Chem Technol	9439	1535	158	0.103
1278	Univ Huddersfield	793	1534	185	0.121
1279	Oakland Univ	3532	1533	113	0.074
1280	Univ Tours	2594	1532	139	0.091
1281	Univ Crete	366	1530	158	0.103
1282	Univ Cape Coast	53117	1529	124	0.081
1283	Eskişehir Osmangazi Univ	1033	1526	88	0.057
1284	Univ Cyprus	81	1525	146	0.096
1285	Near E Univ	53047	1521	127	0.084
1286	Cracow Univ Technol	936	1520	114	0.075
1287	Univ Chem & Technol - Prague	98	1519	114	0.075
1288	Univ Fed ABC	6003	1518	95	0.063
1289	Bu-Ali Sina Univ	3719	1516	158	0.104
1290	Univ Albany - SUNY	1464	1516	163	0.107
1291	Univ Bourgogne Europe (EPE)	70023	1515	148	0.098
1292	Univ Nis	3736	1515	87	0.057
1293	Univ Insubria	811	1515	190	0.126
1294	Yamaguchi Univ	1550	1514	54	0.036
1295	Babol Noshirvani Univ Technol	18053	1514	198	0.131
1296	Qinghai Univ	19189	1513	75	0.05
1297	Indian Agr Res Inst	2474	1512	119	0.078
1298	Islamia Univ Bahawalpur	18990	1511	178	0.118
1299	Univ West Cape	1504	1510	113	0.075
1300	Rowan Univ	53048	1508	123	0.081
1301	Northeast Elect Power Univ	52634	1505	187	0.124
1302	Univ Malaysia Terengganu	53910	1504	131	0.087
1303	Suez Canal Univ	9434	1502	116	0.077
1304	Xi'an Univ Posts & Telecom	52642	1501	134	0.089
1305	Lehigh Univ	3475	1501	152	0.101
1306	Univ Babylon	55363	1500	83	0.055
1307	Londrina State Univ	1490	1500	64	0.043
1308	Univ Lagos	10256	1500	80	0.054
1309	Univ Los Andes Colombia	9428	1499	107	0.071
1310	Brock Univ	3581	1495	117	0.078
1311	Univ N Carolina - Greensboro	3515	1494	149	0.1
1312	Dongguan Univ Technol	19192	1492	152	0.102
1313	Univ Las Palmas Gran Canaria	643	1487	113	0.076
1314	Jikei Univ Sch Med	3646	1487	72	0.048
1315	North Arizona Univ	9846	1486	162	0.109
1316	Univ Sunshine Coast	18685	1483	136	0.091
1317	Razi Univ	3720	1483	125	0.084
1318	Bauman Moscow State Tech Univ	53256	1482	43	0.029
1319	Cent Queensland Univ	33362	1482	205	0.138
1320	Ludong Univ	9672	1481	118	0.079
1321	Moscow Inst Phys & Technol	2881	1479	67	0.045
1322	Norwegian Univ Life Sci	495	1478	152	0.103
1323	Ulsan Coll	34696	1476	125	0.084
1324	Manipal Univ Jaipur	55369	1472	108	0.073
1325	King George's Med Univ	53131	1471	49	0.034
1326	Yeshiva Univ	1262	1468	147	0.1
1327	Montana State Univ	3477	1464	128	0.087
1328	Royal Coll Surgeons Ireland	1045	1462	189	0.129
1329	Indian Inst Technol Ropar	19144	1461	118	0.081
1330	Bangladesh Univ Engn & Technol	52627	1459	149	0.102
1331	Bharathiar Univ	2489	1459	97	0.067
1332	Univ W Attica	25056	1457	141	0.097
1333	Ehime Univ	1542	1456	57	0.039
1334	Obafemi Awolowo Univ	18046	1455	47	0.032
1335	Univ Nairobi	9303	1453	70	0.048
1336	İnönü Univ	743	1451	74	0.051
