315	Zhejiang Sci-Tech University (ZSTU)	China	91.34	242.0
316	Stockholm University	Sweden	91.1	580.0
317	Virginia Polytechnic Institute and State University (Virginia Tech)	United States of America (USA)	90.9	277.0
318	Chongqing Medical University (CQMU)	China	90.83	257.0
319	Central China Normal University (CCNU)	China	90.54	376.0
320	Erasmus University Rotterdam (EUR)	Netherlands	90.04	426.0
321	The University of Adelaide (Adelaide Uni)	Australia	89.94	431.0
322	University of Liverpool	United Kingdom (UK)	89.94	579.0
323	Eindhoven University of Technology (TU	Netherlands	89.33	206.0
324	Academia Sinica	Taiwan	89.26	421.0
325	The French Alternative Energies and Atomic Energy Commission (CEA)	France	89.24	1065.0
326	The University of Georgia (UGA)	United States of America (USA)	88.88	301.0
327	UK Research and Innovation (UKRI)	United Kingdom (UK)	88.22	868.0
328	Xinjiang University (XJU)	China	87.96	211.0
329	Ruhr University Bochum (RUB)	Germany	87.8	419.0
330	South China Agricultural University (SCAU)	China	87.76	313.0
331	Dartmouth College	United States of America (USA)	87.75	290.0
332	Hangzhou Normal University (HZNU)	China	87.43	293.0
333	University of Massachusetts Amherst (UMass Amherst)	United States of America (USA)	85.59	335.0
334	University of Cincinnati (UC)	United States of America (USA)	85.49	400.0
335	Sapienza University of Rome	Italy	84.95	464.0
336	Wenzhou University (WZU)	China	84.91	206.0
337	Xi'an University of Architecture and Technology (XAUAT)	China	84.86	173.0
338	Tata Institute of Fundamental Research (TIFR)	India	84.28	227.0
339	Homi Bhabha National Institute (HBNI)	India	84.26	274.0
340	Goethe University Frankfurt (GU)	Germany	84.11	471.0
341	Anhui Medical University (AHMU)	China	84.09	246.0
342	Harbin Engineering University (HEU)	China	84.03	437.0
343	University of Lausanne (UNIL)	Switzerland	83.98	342.0
344	University of Exeter	United Kingdom (UK)	83.3	374.0
345	Autonomous University of Madrid (UAM)	Spain	82.23	597.0
346	University of Connecticut (UConn)	United States of America (USA)	82.17	268.0
347	Scripps Research	United States of America (USA)	81.95	228.0
348	Institute for Basic Science (IBS)	South Korea	81.71	360.0
349	Queen Mary University of London (QMUL)	United Kingdom (UK)	81.55	469.0
350	University of Waterloo	Canada	80.47	280.0
351	University of Ottawa (uOttawa)	Canada	79.83	325.0
352	University of Gothenburg (GU)	Sweden	79.4	414.0
353	McMaster University	Canada	79.39	336.0
354	Beijing Forestry University (BFU)	China	79.3	228.0
355	Chalmers University of Technology (Chalmers)	Sweden	79.27	280.0
356	University of Calgary (U of C)	Canada	79.15	335.0
357	Northeastern University (NU)	United States of America (USA)	79.14	349.0
358	Los Alamos National Laboratory (LANL)	United States of America (USA)	78.53	445.0
359	Iowa State University	United States of America (USA)	78.25	412.0
360	Indian Institute of Technology Madras (IIT Madras)	India	77.98	234.0
361	Assistance Publique-Hôpitaux de Paris (AP-HP)	France	77.42	661.0
362	China University of Petroleum, Beijing (CUP)	China	77.12	257.0
363	University of Montreal (UdeM)	Canada	76.59	489.0
364	Wenzhou Medical University (WMU)	China	76.57	270.0
365	Oregon Health and Science University (OHSU)	United States of America (USA)	76.46	289.0
366	Charles University (CU)	Czech Republic	76.15	444.0
367	University of Notre Dame (ND)	United States of America (USA)	76.03	302.0
368	U.S. Department of Defense (DoD)	United States of America (USA)	76.02	378.0
369	National Tsing Hua University (NTHU)	Taiwan	75.89	260.0
370	Indian Institute of Technology Kanpur (IIT Kanpur)	India	75.71	151.0
371	University of the Basque Country (UPV	Spain	75.27	415.0
372	Indian Institute of Technology Guwahati (IIT Guwahati)	India	75.21	108.0
373	University of Lyon	France	75.06	639.0
374	Wageningen University & Research (WUR)	Netherlands	74.57	265.0
375	University of Southampton (Soton)	United Kingdom (UK)	74.54	419.0
376	Chang'an University	China	74.46	224.0
